# 华擎 ASRock 显卡型号表（官网核实）

来源：asmrock.com 官网显卡产品页抓取，2026-09 核查。
这是本项目中**唯一逐条核对了覆盖型号**的 AIC 厂商，
数据用于 js/db-aib.js 中 asrock-* 系列的 onlyGpus 字段。

格式：完整型号名 | 所属 GPU | 厂内 SKU 代号
Radeon RX 7600 Steel Legend 8GB OC | AMD Radeon RX 7600 | RX7600 SL 8GO
Radeon RX 7600 Challenger Pro 8GB OC | AMD Radeon RX 7600 | RX7600 CLP 8GO
Radeon RX 7600 Challenger 8GB OC | AMD Radeon RX 7600 | RX7600 CL 8GO
Radeon RX 6950 XT OC Formula 16GB | AMD Radeon RX 6950 XT | RX6950XT OCF 16G
Radeon RX 6950 XT Phantom Gaming 16GB OC | AMD Radeon RX 6950 XT | RX6950XT PG 16GO
Radeon RX 6900 XT OC Formula 16GB | AMD Radeon RX 6900 XT | RX6900XT OCF 16G
Radeon RX 6900 XT Phantom Gaming D 16G OC | AMD Radeon RX 6900 XT | RX6900XT PGD 16GO
Radeon RX 6900 XT 16G | AMD Radeon RX 6900 XT | Radeon RX 6900 XT 16G
Radeon RX 6800 XT Taichi X 16G OC | AMD Radeon RX 6800 XT | RX6800XT TCX 16GO
Radeon RX 6800 XT Phantom Gaming D 16G OC | AMD Radeon RX 6800 XT | RX6800XT PGD 16GO
Radeon RX 6800 XT Phantom Gaming 16GB OC | AMD Radeon RX 6800 XT | RX6800XT PG 16GO
Radeon RX 6800 XT 16G | AMD Radeon RX 6800 XT | Radeon RX 6800 XT 16G
Radeon RX 6800 Phantom Gaming D 16G OC | AMD Radeon RX 6800 | RX6800 PGD 16GO
Radeon RX 6800 Challenger Pro 16G OC | AMD Radeon RX 6800 | RX6800 CLP 16GO
Radeon RX 6800 16G | AMD Radeon RX 6800 | Radeon RX 6800 16G
Radeon RX 6750 XT Phantom Gaming D 12GB OC | AMD Radeon RX 6750 XT | RX6750XT PGD 12GO
Radeon RX 6750 XT Challenger Pro 12GB OC | AMD Radeon RX 6750 XT | RX6750XT CLP 12GO
Radeon RX 6700 XT Phantom Gaming D 12GB OC | AMD Radeon RX 6700 XT | RX6700XT PGD 12GO
Radeon RX 6700 XT Challenger Pro 12GB OC | AMD Radeon RX 6700 XT | RX6700XT CLP 12GO
Radeon RX 6700 XT Challenger Pro 12GB | AMD Radeon RX 6700 XT | RX6700XT CLP 12G
Radeon RX 6700 XT Challenger D 12GB OC | AMD Radeon RX 6700 XT | RX6700XT CLD 12GO
Radeon RX 6700 XT Challenger D 12GB | AMD Radeon RX 6700 XT | RX6700XT CLD 12G
